"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"min-jun",,"MinJun",,1,,"11:48 05/09/2022"
"seo-jun",,"SeoJun",,1,,"11:48 05/09/2022"
"ha-joon",,"HaJoon",,1,,"11:48 05/09/2022"
"do-yun",,"DoYun",,1,,"11:48 05/09/2022"
"joo-won",,"JooWon",,1,,"11:48 05/09/2022"
"ye-jun",,"YeJun",,1,,"11:48 05/09/2022"
"joon-woo",,"JoonWoo",,1,,"11:48 05/09/2022"
"ji-ho",,"JiHo",,1,,"11:48 05/09/2022"
"ji-hu",,"JiHu",,1,,"11:48 05/09/2022"
"jun-seo",,"JunSeo",,1,,"11:48 05/09/2022"
"junseo","","JunSeo","",,"","11:37 28/08/2024"
"yejun","","YeJun","",,"","11:37 28/08/2024"
"minjun","","MinJun","",,"","12:03 28/08/2024"
"joowon","","JooWon","",,"","12:03 28/08/2024"
"doyun","","DoYun","",,"","13:51 28/08/2024"
"jihu","","JiHu","",,"","13:51 28/08/2024"
"joonwoo","","JoonWoo","",,"","13:51 28/08/2024"
"hajoon","","HaJoon","",,"","13:51 28/08/2024"
"jiho","","JiHo","",,"","14:59 28/08/2024"
"seojun","","SeoJun","",,"","14:59 28/08/2024"
